,顧客ID,商品コード,売上単価,数量,売上,明細ID
4586,37632285,1B2201,28080,1,28080,370000442278
4592,37632286,1A1501,105840,1,105840,370000443531
4608,37652083,1A1501,105840,1,105840,370000444361
4631,37722036,1B2201,28080,1,28080,370000446682
4658,37812339,1A1501,105840,1,105840,370000442221
4666,37812340,1A1601,82080,1,82080,370000442421
4674,37812342,200006,8640,1,8640,370000446611
4695,37912094,1A1501,105840,1,105840,370000443031
4699,37912094,1B2201,28080,1,28080,370000443035
4706,37922014,1B2201,28080,1,28080,370000442392
4716,38112165,1B2201,28080,1,28080,380000322152
4718,38112292,200006,8640,1,8640,380000324031
4724,38122056,1B2201,28080,1,28080,1430000227462
4726,38122447,200006,8640,1,8640,380000323751
4736,38152182,1B2201,28080,1,28080,380000324002
4740,38152458,1A1601,82080,1,82080,380000322511
4747,38152459,200071,16200,1,16200,380000322691
4752,38152460,1A1601,82080,1,82080,380000323601
4755,38152462,200071,16200,1,16200,380000323352
4761,38212162,200006,8640,1,8640,380000323101
4769,38212241,1B2201,28080,1,28080,380000322071
4775,38212355,200006,8640,1,8640,380000323001
4780,38222156,200006,8640,1,8640,1940000027351
4782,38222166,200006,8640,1,8640,380000322851
4795,38312332,200006,8640,1,8640,380000323221
4800,38312333,200006,8640,1,8640,380000323251
4806,38312334,1A1501,105840,1,105840,380000323371
4810,38322057,200006,8640,1,8640,1430000224521
4812,38322198,200006,8640,1,8640,1370000029891
4816,38332202,200006,8640,1,8640,380000324061
4820,38412429,200006,8640,1,8640,1430000224071
4833,38512293,1A1501,105840,1,105840,380000322051
4845,38522047,200006,8640,1,8640,380000323091
4849,38612200,200006,8640,1,8640,20001638431
4854,38612237,200006,8640,1,8640,1430000222401
4857,38632142,200006,8640,1,8640,150000394191
4864,38642006,200006,8640,1,8640,380000322651
4879,38722183,200006,8640,1,8640,380000323821
4884,38732074,200006,8640,1,8640,380000324051
4894,38812276,200006,8640,1,8640,1770000187541
4900,38912098,1A1501,105840,1,105840,380000323011
4908,38912099,200071,16200,1,16200,380000323331
4922,39122146,1A1501,105840,1,105840,390000124971
4925,39122146,1B2201,28080,1,28080,390000124974
4935,39152125,1B2201,28080,1,28080,390000125051
4967,39252079,1A1501,105840,1,105840,390000123692
4968,39252079,1B2201,28080,1,28080,390000123693
4980,39252081,1A1501,105840,1,105840,390000124362
4982,39252081,1B2201,28080,1,28080,390000124364
4996,39312062,200006,8640,1,8640,30000235961
4997,39312062,200071,16200,1,16200,30000235962
4999,39312101,1B2201,28080,1,28080,390000124991
5005,39432036,1A1501,105840,1,105840,390000124982
5010,39512061,1B2201,28080,1,28080,390000124094
5013,39612071,1B2201,28080,1,28080,390000123711
5034,40132111,200071,16200,1,16200,400000567801
5040,40152277,1B2201,28080,1,28080,400000567552
5057,40512187,200071,16200,1,16200,400000570582
5068,40712153,200006,8640,1,8640,400000567963
5074,40722016,1B2201,28080,1,28080,840000115511
5078,40852086,1A1601,82080,1,82080,400000569042
5099,42122036,200006,8640,1,8640,370000444541
5100,42332012,1B2201,28080,1,28080,370000444521
5111,42812075,200006,8640,1,8640,370000444091
5112,42812075,200071,16200,1,16200,370000444092
5119,43132010,1B2201,28080,1,28080,1430000219273
5126,43132034,1A1501,105840,1,105840,430000083813
5128,43132034,1B2201,28080,1,28080,430000083815
5134,43152122,200006,8640,1,8640,430000083631
5137,43152122,200006,8640,1,8640,430000083771
5140,43152137,1A1501,105840,1,105840,430000083481
5153,43312089,200006,8640,1,8640,380000322881
5157,43332052,1A1501,105840,1,105840,430000083452
5159,43332052,1B2201,28080,1,28080,430000083454
5171,43432021,200071,16200,1,16200,430000083292
5173,43512008,200006,8640,1,8640,150000393831
5181,43612059,1A1501,105840,1,105840,430000083271
5183,43612059,1B2201,28080,1,28080,430000083273
5200,43912028,1A1501,105840,1,105840,430000083251
5203,43912028,1B2201,28080,1,28080,430000083254
5212,44222005,200071,16200,1,16200,440000101781
5221,44252063,1B2201,28080,1,28080,440000101842
5224,44252070,200071,16200,1,16200,440000101391
5229,44252072,1A1501,105840,1,105840,440000101541
5235,44312069,1A1501,105840,1,105840,440000102041
5245,44412076,1B2201,28080,1,28080,440000101951
5254,44632065,1A1501,105840,1,105840,440000101122
5255,44632065,1B2201,28080,1,28080,440000101123
5275,44912041,1A1501,105840,1,105840,440000101481
5276,44912041,1B2201,28080,1,28080,440000101482
5300,45112179,1B2201,28080,1,28080,450000352660
5303,45112185,1B2201,28080,1,28080,450000352033
5312,45112187,1A1501,105840,1,105840,450000352561
5316,45112187,1B2201,28080,1,28080,450000352565
5318,45122095,200006,8640,1,8640,1430000219661
5325,45122226,1B2201,28080,1,28080,450000350896
5332,45132018,200006,8640,1,8640,450000353341
5336,45152111,1B2201,28080,1,28080,450000352981
5345,45152253,1B2201,28080,1,28080,450000352974
5346,45152269,200006,8640,1,8640,1770000185241
5347,45152270,200006,8640,1,8640,450000351211
5351,45152297,200006,8640,1,8640,450000352931
5360,45212078,1B2201,28080,2,56160,450000352533
5371,45212133,1B2201,28080,1,28080,450000350758
5387,45222107,1B2201,28080,1,28080,450000353332
5391,45232085,200071,16200,1,16200,450000351201
5396,45252179,1B2201,28080,1,28080,450000351953
5411,45312184,1B2201,28080,1,28080,450000352891
5441,45412012,1B2201,28080,1,28080,450000352771
5442,45412179,200006,8640,1,8640,1430000226391
5445,45412219,1B2201,28080,1,28080,450000352623
5451,45412273,1A1501,105840,1,105840,450000352191
5490,45612136,200006,8640,1,8640,450000352213
5499,45632122,1A1501,105840,1,105840,450000353051
5509,45652045,1B2201,28080,1,28080,2090000013971
5519,45722006,1B2201,28080,1,28080,450000353036
5526,45722139,1B2201,28080,1,28080,450000352673
5541,45732016,1B2201,28080,1,28080,450000352373
5549,45732052,1B2201,28080,1,28080,450000352121
5558,45812055,1B2201,28080,1,28080,450000351421
5565,45812089,200006,8640,1,8640,1940000027061
5567,45832002,1B2201,28080,1,28080,450000351071
5586,46812021,200006,8640,1,8640,630000725571
5594,47312044,1A1501,105840,1,105840,470000084472
5604,47722026,200006,8640,1,8640,470000084701
5614,53112141,200071,16200,1,16200,1430000224952
5620,53112422,1B2201,28080,1,28080,320000508071
5658,53122787,1A1501,105840,1,105840,530000895072
5672,53122788,1A1501,105840,1,105840,530000895562
5677,53122788,1B2201,28080,1,28080,530000895567
5686,53122789,1A1501,105840,1,105840,530000895982
5699,53122790,200071,16200,1,16200,530000896882
5706,53132178,200006,8640,1,8640,380000323631
5714,53132225,1A1501,105840,1,105840,530000900691
5727,53132226,1A1601,82080,1,82080,530000902581
5740,53152704,1B2201,28080,1,28080,530000898241
5755,53152732,1A1501,105840,1,105840,530000897301
5756,53152732,1B2201,28080,1,28080,530000897302
5768,53152734,1A1501,105840,1,105840,530000902321
5770,53152734,1B2201,28080,1,28080,530000902323
5780,53212178,200006,8640,1,8640,530000896001
5782,53212478,200006,8640,1,8640,20001631711
5789,53212593,200071,16200,1,16200,530000897421
5804,53212653,1A1601,82080,1,82080,530000902311
5808,53212654,200071,16200,1,16200,530000902971
5820,53222267,200071,16200,1,16200,530000895481
5825,53232238,1B2201,28080,1,28080,530000899203
5826,53232238,1B2201,28080,1,28080,530000899204
5844,53312041,200006,8640,1,8640,320000507292
5845,53312181,200006,8640,1,8640,380000321931
5850,53312310,200006,8640,1,8640,630000723402
5856,53312574,1A1601,82080,1,82080,530000901011
5860,53322379,1A1501,105840,1,105840,530000901851
5862,53322379,1B2201,28080,1,28080,530000901853
