,顧客ID,状況,指名区分,予約回数
133,002312794,予確済,なし,1
134,002312797,予確済,なし,1
135,002312870,予約,あり,1
136,002312875,予約,なし,1
137,002312876,予約,なし,2
138,002312881,予確済,なし,1
139,002312881,予約,なし,2
140,002312894,予確済,なし,2
141,002312894,予約,なし,4
142,002312895,予確済,なし,1
143,002312895,予約,なし,4
144,002312897,予確済,なし,1
145,002321013,予約,なし,1
146,002322187,予確済,なし,1
147,002322335,予約,なし,1
148,002322538,予約,あり,1
149,002322538,予約,なし,1
150,002322551,予確済,あり,1
151,002322551,予約,あり,1
152,002322551,予約,なし,1
153,002322599,予確済,なし,1
154,002322604,予確済,なし,1
155,002322615,予確済,なし,1
156,002322616,予確済,なし,1
157,002322621,予約,なし,1
158,002322625,予確済,なし,2
159,002322625,予約,なし,4
160,002322627,予確済,なし,3
161,002322627,予約,なし,3
162,002332270,予確済,なし,1
163,002332270,仮予約,なし,1
164,002332270,変更取消,なし,1
165,002332313,予確済,なし,1
166,002332313,予約,なし,1
167,002332460,予確済,なし,1
168,002332460,予約,あり,1
169,002332460,予約,なし,2
170,002332530,予確済,なし,2
171,002332530,予約,なし,3
172,002342118,予確済,なし,1
173,002352031,予約,なし,1
174,002411247,予確済,なし,1
175,002411247,変更取消,なし,1
176,002411289,予確済,なし,1
177,002412649,予約,なし,3
178,002412649,変更取消,なし,1
179,002412885,予確済,なし,1
180,002412928,予約,なし,1
181,002412940,予約,あり,1
182,002412940,取消,あり,1
183,002413004,予約,なし,1
184,002413091,予確済,なし,1
185,002413092,予確済,なし,1
186,002413092,予約,なし,1
187,002413108,予約,なし,1
188,002413119,予約,なし,2
189,002413135,予約,なし,1
190,002432011,予確済,なし,1
191,002432182,予確済,なし,1
192,002432208,予確済,なし,1
193,002451112,予約,なし,1
194,002452268,予確済,なし,1
195,002512412,予確済,なし,1
196,002512412,予約,なし,2
197,002512412,変更取消,なし,1
198,002512488,予約,あり,1
199,002512657,予確済,なし,1
200,002512719,予確済,なし,1
201,002512736,予確済,なし,3
202,002512736,予約,なし,4
203,002512737,予確済,なし,1
204,002522238,予約,なし,1
205,002522243,予確済,なし,2
206,002522243,予約,なし,4
