,顧客ID,商品コード,売上単価,数量,売上,明細ID,スコア
3213,25152370,200071,16200,1,16200,250000596051,2
3214,25152370,200006,8640,1,8640,250000596052,1
3221,25152380,1B2201,28080,1,28080,250000594114,4
3245,25252167,1B2201,28080,1,28080,250000594466,4
3254,25412198,200006,8640,1,8640,250000595211,1
3257,25412315,200006,8640,1,8640,250000594701,1
3262,25432075,1B2201,28080,1,28080,530000896083,4
3272,25522046,200006,8640,1,8640,250000597341,1
3278,25632109,200006,8640,1,8640,360000665892,1
3298,25852013,200006,8640,1,8640,250000595002,1
3311,26452052,200006,8640,1,8640,20001636611,1
3318,26552042,1B2201,28080,1,28080,110000407891,4
3322,26632016,200006,8640,1,8640,530000903241,1
3329,27122107,1B2201,28080,1,28080,430000083531,4
3352,28152057,200006,8640,1,8640,280000299241,1
3362,28152265,200006,8640,1,8640,1940000026001,1
3366,28152279,200006,8640,1,8640,280000298101,1
3367,28152279,200071,16200,1,16200,280000298102,2
3371,28152281,200006,8640,1,8640,280000299341,1
3382,28232020,1B2201,28080,1,28080,280000298615,4
3392,28232058,1B2201,28080,1,28080,280000297605,4
3394,28252051,1B2201,28080,1,28080,280000298531,4
3406,28312184,1A1501,105840,1,105840,280000297881,5
3407,28312184,1B2201,28080,1,28080,280000297882,4
3426,28332027,1B2201,28080,1,28080,280000298654,4
3434,28352019,1B2201,28080,1,28080,530000899243,4
3441,28431000,1B2201,28080,1,28080,20001628641,4
3448,28612090,1B2201,28080,1,28080,280000297473,4
3465,28652012,200006,8640,1,8640,1200000288341,1
3479,29112292,1B2201,28080,1,28080,290000366452,4
3485,29122245,1A1501,105840,1,105840,60000739881,5
3487,29122245,1B2201,28080,1,28080,60000739883,4
3489,29122294,200071,16200,1,16200,290000366591,2
3501,29212137,200006,8640,1,8640,60000736601,1
3507,29212264,1A1601,82080,1,82080,290000366612,3
3515,29222100,200006,8640,1,8640,290000366631,1
3525,29232087,1B2201,28080,1,28080,60000739175,4
3536,29252168,200006,8640,1,8640,290000366321,1
3545,29332139,200006,8640,1,8640,290000366491,1
3550,29542009,200006,8640,1,8640,1110000054941,1
3569,29732067,200006,8640,1,8640,290000366482,1
3572,31112017,1A1601,82080,1,82080,1100000050551,3
3577,31112028,200006,8640,1,8640,880000050741,1
3582,32112209,1A1601,82080,1,82080,320000509341,3
3585,32122317,200006,8640,1,8640,1430000224531,1
3600,32152299,1B2201,28080,1,28080,320000506592,4
3608,32152299,1B2201,28080,1,28080,320000509023,4
3619,32212284,1B2201,28080,1,28080,320000509972,4
3634,32222117,1A1601,82080,1,82080,320000505602,3
3641,32222118,200006,8640,1,8640,320000506291,1
3646,32252190,1B2201,28080,1,28080,320000509353,4
3651,32252196,1A1501,105840,1,105840,320000509531,5
3677,32412105,1B2201,28080,1,28080,320000509281,4
3690,32432017,1B2201,28080,1,28080,370000441794,4
3697,32512106,1B2201,28080,1,28080,320000508502,4
3703,32512246,1A1501,105840,1,105840,320000508892,5
3707,32512246,1B2201,28080,1,28080,320000508896,4
3718,32552032,1B2201,28080,1,28080,320000509715,4
3727,32612147,200006,8640,1,8640,320000508351,1
3730,32632114,1B2201,28080,1,28080,320000506582,4
3738,32652006,200006,8640,1,8640,320000505851,1
3746,32712124,200006,8640,1,8640,320000508511,1
3748,32712139,200071,16200,1,16200,20001638721,2
3749,32712139,200006,8640,1,8640,20001638722,1
3753,32712139,1B2201,28080,1,28080,730000108241,4
3770,32722124,1B2201,28080,1,28080,320000507731,4
3776,32812119,200006,8640,1,8640,60000736631,1
3787,32832010,1B2201,28080,1,28080,320000507213,4
3794,32852118,1A1501,105840,1,105840,320000505912,5
3814,34122072,1A1501,105840,1,105840,340000051802,5
3816,34122072,1B2201,28080,1,28080,340000051804,4
3823,34252028,200006,8640,1,8640,340000051841,1
3825,34312048,1A1501,105840,1,105840,340000051851,5
3829,34312048,1B2201,28080,1,28080,340000051855,4
3837,34552005,200071,16200,1,16200,340000051911,2
3841,34552010,200006,8640,1,8640,340000051972,1
3842,34552010,200071,16200,1,16200,340000052031,2
3846,34912020,1A1501,105840,1,105840,340000052131,5
3853,35112197,1B2201,28080,1,28080,350000643711,4
3874,35152322,1B2201,28080,1,28080,350000642034,4
3877,35152349,1A1501,105840,1,105840,350000639443,5
3879,35152349,1B2201,28080,1,28080,350000639445,4
3890,35152354,200006,8640,1,8640,350000644251,1
3893,35212101,1A1501,105840,1,105840,370000443241,5
3914,35212312,1A1501,105840,1,105840,350000642451,5
3916,35222088,1B2201,28080,1,28080,370000442791,4
3924,35222096,200006,8640,1,8640,350000644661,1
3926,35222125,200006,8640,1,8640,370000444101,1
3933,35252212,1B2201,28080,1,28080,350000637654,4
3940,35252216,200071,16200,1,16200,370000444401,2
3950,35312213,1B2201,28080,1,28080,350000638964,4
3962,35322206,1B2201,28080,1,28080,350000643433,4
3970,35322210,1B2201,28080,1,28080,350000644743,4
3977,35332010,200006,8640,1,8640,1680000017551,1
3978,35332010,200071,16200,1,16200,1680000017552,2
4012,35522092,200006,8640,1,8640,350000638462,1
4032,35632184,200006,8640,1,8640,350000639971,1
4038,35652059,1A1501,105840,1,105840,350000638031,5
4049,35712151,200071,16200,1,16200,370000445531,2
4055,35712287,1A1501,105840,1,105840,350000638042,5
4065,35712289,1A1501,105840,1,105840,350000642951,5
4067,35712289,1B2201,28080,1,28080,350000642953,4
4069,35712290,1A1501,105840,1,105840,350000643031,5
4071,35712290,1B2201,28080,1,28080,350000643033,4
4073,35722007,200006,8640,1,8640,370000446991,1
4075,35722173,200006,8640,1,8640,350000639981,1
4081,35722176,1B2201,28080,1,28080,350000642343,4
4098,35812309,1A1501,105840,1,105840,350000644612,5
4100,35812309,1B2201,28080,1,28080,350000644614,4
4127,36122450,1B2201,28080,1,28080,250000595841,4
4140,36132131,1A1501,105840,1,105840,360000672932,5
4144,36152472,200006,8640,1,8640,360000663072,1
4145,36152472,200071,16200,1,16200,360000669531,2
4189,36522052,200071,16200,1,16200,360000663061,2
4194,36612120,1B2201,28080,1,28080,1570000033833,4
4200,36622083,200071,16200,1,16200,360000672881,2
4201,36622083,200006,8640,1,8640,360000672882,1
4208,36622105,200071,16200,1,16200,360000663792,2
4209,36632109,200006,8640,1,8640,360000669471,1
4218,36632149,1A1501,105840,1,105840,360000662732,5
4230,36712181,200006,8640,1,8640,360000671954,1
4239,36722153,1A1501,105840,1,105840,360000670212,5
4244,36732049,200006,8640,1,8640,360000665901,1
4262,36812276,200006,8640,1,8640,360000672812,1
4263,36852148,200006,8640,1,8640,360000666561,1
4281,37112229,200006,8640,1,8640,370000446331,1
4287,37122094,1B2201,28080,1,28080,370000441564,4
4288,37122252,200006,8640,1,8640,370000441551,1
4293,37122481,1B2201,28080,1,28080,370000444024,4
4296,37122494,1A1501,105840,1,105840,370000443361,5
4298,37122494,1B2201,28080,1,28080,370000443363,4
4311,37122496,200006,8640,1,8640,370000444491,1
4318,37142074,1A1601,82080,1,82080,370000442971,3
4328,37152043,200006,8640,1,8640,350000640553,1
4336,37152394,200006,8640,1,8640,370000442951,1
4340,37152395,1A1501,105840,1,105840,370000445951,5
4348,37212287,200071,16200,1,16200,370000446071,2
4353,37212371,200006,8640,1,8640,370000443501,1
4360,37212380,1A1501,105840,1,105840,370000443311,5
4365,37212380,1B2201,28080,1,28080,370000443316,4
4374,37212382,1A1601,82080,1,82080,370000446531,3
4383,37232174,1B2201,28080,1,28080,370000441255,4
4388,37232180,1A1501,105840,1,105840,370000442691,5
4405,37252024,200071,16200,1,16200,370000443404,2
4410,37252202,1B2201,28080,1,28080,370000444143,4
4417,37252220,1A1501,105840,1,105840,370000442091,5
4433,37252223,200071,16200,1,16200,370000445371,2
